Date,Open,High,Low,Close,Volume,Ex-Dividend,Split Ratio,Adj. Open,Adj. High,Adj. Low,Adj. Close,Adj. Volume
2016-01-03,105.26,105.26,105.26,105.26,40912316,0,1,105.26,105.26,105.26,105.26,40912316
2016-01-04,105.26,105.35,105.26,105.35,67649387,0,1,105.26,105.35,105.26,105.35,67649387
2016-01-05,105.35,105.35,102.71,102.71,55790992,0,1,105.35,105.35,102.71,102.71,55790992
2016-01-06,102.71,102.71,100.7,100.7,68457388,0,1,102.71,102.71,100.7,100.7,68457388
2016-01-07,100.7,100.7,96.45,96.45,81094428,0,1,100.7,100.7,96.45,96.45,81094428
2016-01-08,96.45,96.96,96.45,96.96,70798016,0,1,96.45,96.96,96.45,96.96,70798016
2016-01-11,96.96,98.53,96.96,98.53,49739377,0,1,96.96,98.53,96.96,98.53,49739377
2016-01-12,98.53,99.96,98.53,99.96,49154227,0,1,98.53,99.96,98.53,99.96,49154227
2016-01-13,99.96,99.96,97.39,97.39,62439631,0,1,99.96,99.96,97.39,97.39,62439631
2016-01-14,97.39,99.52,97.39,99.52,63170127,0,1,97.39,99.52,97.39,99.52,63170127
2016-01-15,99.52,99.52,97.13,97.13,79833891,0,1,99.52,99.52,97.13,97.13,79833891
2016-01-18,97.13,97.13,97.13,97.13,79833891,0,1,97.13,97.13,97.13,97.13,79833891
2016-01-19,97.13,97.13,96.66,96.66,53087747,0,1,97.13,97.13,96.66,96.66,53087747
2016-01-20,96.66,96.79,96.66,96.79,72334416,0,1,96.66,96.79,96.66,96.79,72334416
2016-01-21,96.79,96.79,96.3,96.3,52161463,0,1,96.79,96.79,96.3,96.3,52161463
2016-01-22,96.3,101.42,96.3,101.42,65800467,0,1,96.3,101.42,96.3,101.42,65800467
2016-01-25,101.42,101.42,99.44,99.44,51794525,0,1,101.42,101.42,99.44,99.44,51794525
2016-01-26,99.44,99.99,99.44,99.99,75077002,0,1,99.44,99.99,99.44,99.99,75077002
2016-01-27,99.99,99.99,93.42,93.42,133369674,0,1,99.99,99.99,93.42,93.42,133369674
2016-01-28,93.42,94.09,93.42,94.09,55678825,0,1,93.42,94.09,93.42,94.09,55678825
2016-01-29,94.09,97.34,94.09,97.34,64416504,0,1,94.09,97.34,94.09,97.34,64416504
