Date,Open,High,Low,Close,Volume,Ex-Dividend,Split Ratio,Adj. Open,Adj. High,Adj. Low,Adj. Close,Adj. Volume
2016-01-04,3469.07,3469.07,3469.07,3469.07,11537070000,0,1,3469.07,3469.07,3469.07,3469.07,11537070000
2016-01-05,3469.07,3478.78,3469.07,3478.78,16211700000,0,1,3469.07,3478.78,3469.07,3478.78,16211700000
2016-01-06,3478.78,3539.81,3478.78,3539.81,14596610000,0,1,3478.78,3539.81,3478.78,3539.81,14596610000
2016-01-07,3539.81,3539.81,3294.38,3294.38,4410264000,0,1,3539.81,3539.81,3294.38,3294.38,4410264000
2016-01-08,3294.38,3361.56,3294.38,3361.56,18595940000,0,1,3294.38,3361.56,3294.38,3361.56,18595940000
2016-01-11,3361.56,3361.56,3192.45,3192.45,17463840000,0,1,3361.56,3361.56,3192.45,3192.45,17463840000
2016-01-12,3192.45,3215.71,3192.45,3215.71,12822580000,0,1,3192.45,3215.71,3192.45,3215.71,12822580000
2016-01-13,3215.71,3215.71,3155.88,3155.88,12066650000,0,1,3215.71,3215.71,3155.88,3155.88,12066650000
2016-01-14,3155.88,3221.57,3155.88,3221.57,13453770000,0,1,3155.88,3221.57,3155.88,3221.57,13453770000
2016-01-15,3221.57,3221.57,3118.73,3118.73,12460180000,0,1,3221.57,3221.57,3118.73,3118.73,12460180000
2016-01-18,3118.73,3130.73,3118.73,3130.73,10112840000,0,1,3118.73,3130.73,3118.73,3130.73,10112840000
2016-01-19,3130.73,3223.13,3130.73,3223.13,12765390000,0,1,3130.73,3223.13,3130.73,3223.13,12765390000
2016-01-20,3223.13,3223.13,3174.38,3174.38,13065050000,0,1,3223.13,3223.13,3174.38,3174.38,13065050000
2016-01-21,3174.38,3174.38,3081.35,3081.35,11118970000,0,1,3174.38,3174.38,3081.35,3081.35,11118970000
2016-01-22,3081.35,3113.46,3081.35,3113.46,8995109000,0,1,3081.35,3113.46,3081.35,3113.46,8995109000
2016-01-25,3113.46,3128.89,3113.46,3128.89,8154006000,0,1,3113.46,3128.89,3113.46,3128.89,8154006000
2016-01-26,3128.89,3128.89,2940.51,2940.51,12693390000,0,1,3128.89,3128.89,2940.51,2940.51,12693390000
