Date,Open,High,Low,Close,Volume,Ex-Dividend,Split Ratio,Adj. Open,Adj. High,Adj. Low,Adj. Close,Adj. Volume
2016-01-03,434.34,434.34,434.34,434.34,1000000,0,1,434.34,434.34,434.34,434.34,1000000
2016-01-04,434.34,434.94,434.34,434.94,1000000,0,1,434.34,434.94,434.34,434.94,1000000
2016-01-05,434.94,434.94,432.59,432.59,1000000,0,1,434.94,434.94,432.59,432.59,1000000
2016-01-06,432.59,432.59,430.8,430.8,1000000,0,1,432.59,432.59,430.8,430.8,1000000
2016-01-07,430.8,455.35,430.8,455.35,1000000,0,1,430.8,455.35,430.8,455.35,1000000
2016-01-08,455.35,455.35,452.42,452.42,1000000,0,1,455.35,455.35,452.42,452.42,1000000
2016-01-11,452.42,452.42,448.92,448.92,1000000,0,1,452.42,452.42,448.92,448.92,1000000
2016-01-12,448.92,448.92,447.04,447.04,1000000,0,1,448.92,448.92,447.04,447.04,1000000
2016-01-13,447.04,447.04,428.83,428.83,1000000,0,1,447.04,447.04,428.83,428.83,1000000
2016-01-14,428.83,432.13,428.83,432.13,1000000,0,1,428.83,432.13,428.83,432.13,1000000
2016-01-15,432.13,432.13,387.31,387.31,1000000,0,1,432.13,432.13,387.31,387.31,1000000
2016-01-18,387.31,387.31,383.87,383.87,1000000,0,1,387.31,387.31,383.87,383.87,1000000
2016-01-19,383.87,383.87,379.98,379.98,1000000,0,1,383.87,383.87,379.98,379.98,1000000
2016-01-20,379.98,407.11,379.98,407.11,1000000,0,1,379.98,407.11,379.98,407.11,1000000
2016-01-21,407.11,407.11,406.9,406.9,1000000,0,1,407.11,407.11,406.9,406.9,1000000
2016-01-22,406.9,406.9,379.03,379.03,1000000,0,1,406.9,406.9,379.03,379.03,1000000
2016-01-25,379.03,391.32,379.03,391.32,1000000,0,1,379.03,391.32,379.03,391.32,1000000
2016-01-26,391.32,393.13,391.32,393.13,1000000,0,1,391.32,393.13,391.32,393.13,1000000
2016-01-27,393.13,394.65,393.13,394.65,1000000,0,1,393.13,394.65,393.13,394.65,1000000
2016-01-28,394.65,394.65,382.23,382.23,1000000,0,1,394.65,394.65,382.23,382.23,1000000
2016-01-29,382.23,382.23,375.2,375.2,1000000,0,1,382.23,382.23,375.2,375.2,1000000
2016-02-01,375.2,375.2,370.15,370.15,1000000,0,1,375.2,375.2,370.15,370.15,1000000
2016-02-02,370.15,373.43,370.15,373.43,1000000,0,1,370.15,373.43,370.15,373.43,1000000
2016-02-03,373.43,373.43,368.69,368.69,1000000,0,1,373.43,373.43,368.69,368.69,1000000
2016-02-04,368.69,386.83,368.69,386.83,1000000,0,1,368.69,386.83,368.69,386.83,1000000
2016-02-05,386.83,386.83,384.88,384.88,1000000,0,1,386.83,386.83,384.88,384.88,1000000
2016-02-08,384.88,384.88,372.42,372.42,1000000,0,1,384.88,384.88,372.42,372.42,1000000
2016-02-09,372.42,373.34,372.42,373.34,1000000,0,1,372.42,373.34,372.42,373.34,1000000
2016-02-10,373.34,377.64,373.34,377.64,1000000,0,1,373.34,377.64,373.34,377.64,1000000
2016-02-11,377.64,377.64,375.13,375.13,1000000,0,1,377.64,377.64,375.13,375.13,1000000
2016-02-12,375.13,381.61,375.13,381.61,1000000,0,1,375.13,381.61,375.13,381.61,1000000
2016-02-15,381.61,396.13,381.61,396.13,1000000,0,1,381.61,396.13,381.61,396.13,1000000
2016-02-16,396.13,405.53,396.13,405.53,1000000,0,1,396.13,405.53,396.13,405.53,1000000
2016-02-17,405.53,418.58,405.53,418.58,1000000,0,1,405.53,418.58,405.53,418.58,1000000
2016-02-18,418.58,419.82,418.58,419.82,1000000,0,1,418.58,419.82,418.58,419.82,1000000
2016-02-19,419.82,419.82,418.69,418.69,1000000,0,1,419.82,419.82,418.69,418.69,1000000
2016-02-22,418.69,437.25,418.69,437.25,1000000,0,1,418.69,437.25,418.69,437.25,1000000
2016-02-23,437.25,437.25,420.56,420.56,1000000,0,1,437.25,437.25,420.56,420.56,1000000
2016-02-24,420.56,423.4,420.56,423.4,1000000,0,1,420.56,423.4,420.56,423.4,1000000
2016-02-25,423.4,423.4,423.27,423.27,1000000,0,1,423.4,423.4,423.27,423.27,1000000
2016-02-26,423.27,423.96,423.27,423.96,1000000,0,1,423.27,423.96,423.27,423.96,1000000
2016-02-29,423.96,433.91,423.96,433.91,1000000,0,1,423.96,433.91,423.96,433.91,1000000
2016-03-01,433.91,433.91,431.38,431.38,1000000,0,1,433.91,433.91,431.38,431.38,1000000
2016-03-02,431.38,431.38,428.02,428.02,1000000,0,1,431.38,431.38,428.02,428.02,1000000
2016-03-03,428.02,428.02,419.91,419.91,1000000,0,1,428.02,428.02,419.91,419.91,1000000
2016-03-04,419.91,419.91,411.29,411.29,1000000,0,1,419.91,419.91,411.29,411.29,1000000
2016-03-07,411.29,411.91,411.29,411.91,1000000,0,1,411.29,411.91,411.29,411.91,1000000
2016-03-08,411.91,411.91,411.36,411.36,1000000,0,1,411.91,411.91,411.36,411.36,1000000
2016-03-09,411.36,411.43,411.36,411.43,1000000,0,1,411.36,411.43,411.36,411.43,1000000
2016-03-10,411.43,416.14,411.43,416.14,1000000,0,1,411.43,416.14,411.43,416.14,1000000
2016-03-11,416.14,418.65,416.14,418.65,1000000,0,1,416.14,418.65,416.14,418.65,1000000
2016-03-14,418.65,418.65,413.78,413.78,1000000,0,1,418.65,418.65,413.78,413.78,1000000
2016-03-15,413.78,415.07,413.78,415.07,1000000,0,1,413.78,415.07,413.78,415.07,1000000
2016-03-16,415.07,416.63,415.07,416.63,1000000,0,1,415.07,416.63,415.07,416.63,1000000
2016-03-17,416.63,418.36,416.63,418.36,1000000,0,1,416.63,418.36,416.63,418.36,1000000
2016-03-18,418.36,418.36,405.77,405.77,1000000,0,1,418.36,418.36,405.77,405.77,1000000
2016-03-21,405.77,410.76,405.77,410.76,1000000,0,1,405.77,410.76,405.77,410.76,1000000
2016-03-22,410.76,416.84,410.76,416.84,1000000,0,1,410.76,416.84,410.76,416.84,1000000
2016-03-23,416.84,418.16,416.84,418.16,1000000,0,1,416.84,418.16,416.84,418.16,1000000
2016-03-24,418.16,418.16,416.06,416.06,1000000,0,1,418.16,418.16,416.06,416.06,1000000
2016-03-25,416.06,416.06,415.92,415.92,1000000,0,1,416.06,416.06,415.92,415.92,1000000
2016-03-28,415.92,421.97,415.92,421.97,1000000,0,1,415.92,421.97,415.92,421.97,1000000
2016-03-29,421.97,421.97,414.96,414.96,1000000,0,1,421.97,421.97,414.96,414.96,1000000
2016-03-30,414.96,414.96,413.53,413.53,1000000,0,1,414.96,414.96,413.53,413.53,1000000
2016-03-31,413.53,416.85,413.53,416.85,1000000,0,1,413.53,416.85,413.53,416.85,1000000
2016-04-01,416.85,416.85,416.64,416.64,1000000,0,1,416.85,416.85,416.64,416.64,1000000
2016-04-04,416.64,418.99,416.64,418.99,1000000,0,1,416.64,418.99,416.64,418.99,1000000
2016-04-05,418.99,421.94,418.99,421.94,1000000,0,1,418.99,421.94,418.99,421.94,1000000
2016-04-06,421.94,421.94,421.83,421.83,1000000,0,1,421.94,421.94,421.83,421.83,1000000
2016-04-07,421.83,422,421.83,422,1000000,0,1,421.83,422,421.83,422,1000000
2016-04-08,422,422,419.34,419.34,1000000,0,1,422,422,419.34,419.34,1000000
