Date,Open,High,Low,Close,Volume,Ex-Dividend,Split Ratio,Adj. Open,Adj. High,Adj. Low,Adj. Close,Adj. Volume
2016-01-04,741.84,741.84,741.84,741.84,3272776,0,1,741.84,741.84,741.84,741.84,3272776
2016-01-05,741.84,742.58,741.84,742.58,1950691,0,1,741.84,742.58,741.84,742.58,1950691
2016-01-06,742.58,743.62,742.58,743.62,1947034,0,1,742.58,743.62,742.58,743.62,1947034
2016-01-07,743.62,743.62,726.39,726.39,2963741,0,1,743.62,743.62,726.39,726.39,2963741
2016-01-08,726.39,726.39,714.47,714.47,2450857,0,1,726.39,726.39,714.47,714.47,2450857
2016-01-11,714.47,716.03,714.47,716.03,2090621,0,1,714.47,716.03,714.47,716.03,2090621
2016-01-12,716.03,726.07,716.03,726.07,2024509,0,1,716.03,726.07,716.03,726.07,2024509
2016-01-13,726.07,726.07,700.56,700.56,2501730,0,1,726.07,726.07,700.56,700.56,2501730
2016-01-14,700.56,714.72,700.56,714.72,2225768,0,1,700.56,714.72,700.56,714.72,2225768
2016-01-15,714.72,714.72,694.45,694.45,3608109,0,1,714.72,714.72,694.45,694.45,3608109
2016-01-19,694.45,701.79,694.45,701.79,2268078,0,1,694.45,701.79,694.45,701.79,2268078
2016-01-20,701.79,701.79,698.45,698.45,3444962,0,1,701.79,701.79,698.45,698.45,3444962
2016-01-21,698.45,706.59,698.45,706.59,2412211,0,1,698.45,706.59,698.45,706.59,2412211
2016-01-22,706.59,725.25,706.59,725.25,2011797,0,1,706.59,725.25,706.59,725.25,2011797
2016-01-25,725.25,725.25,711.67,711.67,1711716,0,1,725.25,725.25,711.67,711.67,1711716
2016-01-26,711.67,713.04,711.67,713.04,1331691,0,1,711.67,713.04,711.67,713.04,1331691
2016-01-27,713.04,713.04,699.99,699.99,2194227,0,1,713.04,713.04,699.99,699.99,2194227
2016-01-28,699.99,730.96,699.99,730.96,2676397,0,1,699.99,730.96,699.99,730.96,2676397
2016-01-29,730.96,742.95,730.96,742.95,3474319,0,1,730.96,742.95,730.96,742.95,3474319
2016-02-01,742.95,752,742.95,752,5139157,0,1,742.95,752,742.95,752,5139157
2016-02-02,752,764.65,752,764.65,6348126,0,1,752,764.65,752,764.65,6348126
2016-02-03,764.65,764.65,726.95,726.95,6171019,0,1,764.65,764.65,726.95,726.95,6171019
2016-02-04,726.95,726.95,708.01,708.01,5168709,0,1,726.95,726.95,708.01,708.01,5168709
2016-02-05,708.01,708.01,683.57,683.57,5105725,0,1,708.01,708.01,683.57,683.57,5105725
2016-02-08,683.57,683.57,682.74,682.74,4247355,0,1,683.57,683.57,682.74,682.74,4247355
2016-02-09,682.74,682.74,678.11,678.11,3608914,0,1,682.74,682.74,678.11,678.11,3608914
2016-02-10,678.11,684.12,678.11,684.12,2638007,0,1,678.11,684.12,678.11,684.12,2638007
2016-02-11,684.12,684.12,683.11,683.11,3024043,0,1,684.12,684.12,683.11,683.11,3024043
2016-02-12,683.11,683.11,682.4,682.4,2141373,0,1,683.11,683.11,682.4,682.4,2141373
2016-02-16,682.4,691,682.4,691,2520021,0,1,682.4,691,682.4,691,2520021
2016-02-17,691,708.4,691,708.4,2492634,0,1,691,708.4,691,708.4,2492634
2016-02-18,708.4,708.4,697.35,697.35,1883248,0,1,708.4,708.4,697.35,697.35,1883248
2016-02-19,697.35,700.91,697.35,700.91,1589281,0,1,697.35,700.91,697.35,700.91,1589281
2016-02-22,700.91,706.46,700.91,706.46,1949816,0,1,700.91,706.46,700.91,706.46,1949816
2016-02-23,706.46,706.46,695.85,695.85,2009280,0,1,706.46,706.46,695.85,695.85,2009280
2016-02-24,695.85,699.56,695.85,699.56,1963573,0,1,695.85,699.56,695.85,699.56,1963573
2016-02-25,699.56,705.75,699.56,705.75,1642166,0,1,699.56,705.75,699.56,705.75,1642166
2016-02-26,705.75,705.75,705.07,705.07,2243522,0,1,705.75,705.75,705.07,705.07,2243522
2016-02-29,705.07,705.07,697.77,697.77,2481145,0,1,705.07,705.07,697.77,697.77,2481145
2016-03-01,697.77,718.81,697.77,718.81,2151419,0,1,697.77,718.81,697.77,718.81,2151419
2016-03-02,718.81,718.85,718.81,718.85,1629003,0,1,718.81,718.85,718.81,718.85,1629003
2016-03-03,718.85,718.85,712.42,712.42,1957974,0,1,718.85,718.85,712.42,712.42,1957974
2016-03-04,712.42,712.42,710.89,710.89,1972077,0,1,712.42,712.42,710.89,710.89,1972077
2016-03-07,710.89,710.89,695.16,695.16,2988026,0,1,710.89,710.89,695.16,695.16,2988026
2016-03-08,695.16,695.16,693.97,693.97,2076331,0,1,695.16,695.16,693.97,693.97,2076331
2016-03-09,693.97,705.24,693.97,705.24,1421515,0,1,693.97,705.24,693.97,705.24,1421515
2016-03-10,705.24,712.82,705.24,712.82,2833525,0,1,705.24,712.82,705.24,712.82,2833525
2016-03-11,712.82,726.82,712.82,726.82,1970815,0,1,712.82,726.82,712.82,726.82,1970815
2016-03-14,726.82,730.49,726.82,730.49,1718252,0,1,726.82,730.49,726.82,730.49,1718252
2016-03-15,730.49,730.49,728.33,728.33,1720965,0,1,730.49,730.49,728.33,728.33,1720965
2016-03-16,728.33,736.09,728.33,736.09,1624370,0,1,728.33,736.09,728.33,736.09,1624370
2016-03-17,736.09,737.78,736.09,737.78,1860834,0,1,736.09,737.78,736.09,737.78,1860834
2016-03-18,737.78,737.78,737.6,737.6,2980709,0,1,737.78,737.78,737.6,737.6,2980709
2016-03-21,737.6,742.09,737.6,742.09,1836503,0,1,737.6,742.09,737.6,742.09,1836503
2016-03-22,742.09,742.09,740.75,740.75,1269749,0,1,742.09,742.09,740.75,740.75,1269749
2016-03-23,740.75,740.75,738.06,738.06,1432099,0,1,740.75,740.75,738.06,738.06,1432099
2016-03-24,738.06,738.06,735.3,735.3,1594891,0,1,738.06,738.06,735.3,735.3,1594891
2016-03-28,735.3,735.3,733.53,733.53,1301327,0,1,735.3,735.3,733.53,733.53,1301327
2016-03-29,733.53,744.77,733.53,744.77,1903758,0,1,733.53,744.77,733.53,744.77,1903758
2016-03-30,744.77,750.53,744.77,750.53,1782427,0,1,744.77,750.53,744.77,750.53,1782427
2016-03-31,750.53,750.53,744.95,744.95,1718798,0,1,750.53,750.53,744.95,744.95,1718798
2016-04-01,744.95,749.91,744.95,749.91,1576745,0,1,744.95,749.91,744.95,749.91,1576745
2016-04-04,749.91,749.91,745.29,745.29,1134390,0,1,749.91,749.91,745.29,745.29,1134390
2016-04-05,745.29,745.29,737.8,737.8,1132294,0,1,745.29,745.29,737.8,737.8,1132294
2016-04-06,737.8,745.69,737.8,745.69,1053713,0,1,737.8,745.69,737.8,745.69,1053713
2016-04-07,745.69,745.69,740.28,740.28,1453185,0,1,745.69,745.69,740.28,740.28,1453185
2016-04-08,740.28,740.28,739.15,739.15,1290787,0,1,740.28,740.28,739.15,739.15,1290787
2016-04-11,739.15,739.15,736.1,736.1,1220088,0,1,739.15,739.15,736.1,736.1,1220088
2016-04-12,736.1,743.09,736.1,743.09,1352992,0,1,736.1,743.09,736.1,743.09,1352992
2016-04-13,743.09,751.72,743.09,751.72,1707641,0,1,743.09,751.72,743.09,751.72,1707641
2016-04-14,751.72,753.2,751.72,753.2,1135271,0,1,751.72,753.2,751.72,753.2,1135271
2016-04-15,753.2,759,753.2,759,1809332,0,1,753.2,759,753.2,759,1809332
2016-04-18,759,766.61,759,766.61,1558848,0,1,759,766.61,759,766.61,1558848
2016-04-19,766.61,766.61,753.93,753.93,2030526,0,1,766.61,766.61,753.93,753.93,2030526
2016-04-20,753.93,753.93,752.67,752.67,1529217,0,1,753.93,753.93,752.67,752.67,1529217
2016-04-21,752.67,759.14,752.67,759.14,3060490,0,1,752.67,759.14,752.67,759.14,3060490
2016-04-22,759.14,759.14,718.77,718.77,5951938,0,1,759.14,759.14,718.77,718.77,5951938
2016-04-25,718.77,723.15,718.77,723.15,1959179,0,1,718.77,723.15,718.77,723.15,1959179
2016-04-26,723.15,723.15,708.14,708.14,2744587,0,1,723.15,723.15,708.14,708.14,2744587
2016-04-27,708.14,708.14,705.84,705.84,3098587,0,1,708.14,708.14,705.84,705.84,3098587
2016-04-28,705.84,705.84,691.02,691.02,2867255,0,1,705.84,705.84,691.02,691.02,2867255
2016-04-29,691.02,693.01,691.02,693.01,2487673,0,1,691.02,693.01,691.02,693.01,2487673
2016-05-02,693.01,698.21,693.01,698.21,1645265,0,1,693.01,698.21,693.01,698.21,1645265
2016-05-03,698.21,698.21,692.36,692.36,1543785,0,1,698.21,698.21,692.36,692.36,1543785
2016-05-04,692.36,695.7,692.36,695.7,1693525,0,1,692.36,695.7,692.36,695.7,1693525
2016-05-05,695.7,701.43,695.7,701.43,1683507,0,1,695.7,701.43,695.7,701.43,1683507
2016-05-06,701.43,711.12,701.43,711.12,1829291,0,1,701.43,711.12,701.43,711.12,1829291
2016-05-09,711.12,712.9,711.12,712.9,1510289,0,1,711.12,712.9,711.12,712.9,1510289
2016-05-10,712.9,723.18,712.9,723.18,1569591,0,1,712.9,723.18,712.9,723.18,1569591
2016-05-11,723.18,723.18,715.29,715.29,1692063,0,1,723.18,723.18,715.29,715.29,1692063
2016-05-12,715.29,715.29,713.31,713.31,1361332,0,1,715.29,715.29,713.31,713.31,1361332
2016-05-13,713.31,713.31,710.83,710.83,1314499,0,1,713.31,713.31,710.83,710.83,1314499
2016-05-16,710.83,716.49,710.83,716.49,1317069,0,1,710.83,716.49,710.83,716.49,1317069
2016-05-17,716.49,716.49,706.23,706.23,2001225,0,1,716.49,716.49,706.23,706.23,2001225
2016-05-18,706.23,706.63,706.23,706.63,1766836,0,1,706.23,706.63,706.23,706.63,1766836
2016-05-19,706.63,706.63,700.32,700.32,1670234,0,1,706.63,706.63,700.32,700.32,1670234
2016-05-20,700.32,709.74,700.32,709.74,1828387,0,1,700.32,709.74,700.32,709.74,1828387
2016-05-23,709.74,709.74,704.24,704.24,1330692,0,1,709.74,709.74,704.24,704.24,1330692
2016-05-24,704.24,720.09,704.24,720.09,1929467,0,1,704.24,720.09,704.24,720.09,1929467
2016-05-25,720.09,725.27,720.09,725.27,1632564,0,1,720.09,725.27,720.09,725.27,1632564
2016-05-26,725.27,725.27,724.12,724.12,1576286,0,1,725.27,725.27,724.12,724.12,1576286
2016-05-27,724.12,732.66,724.12,732.66,1974962,0,1,724.12,732.66,724.12,732.66,1974962
2016-05-31,732.66,735.72,732.66,735.72,2129545,0,1,732.66,735.72,732.66,735.72,2129545
2016-06-01,735.72,735.72,734.15,734.15,1253593,0,1,735.72,735.72,734.15,734.15,1253593
2016-06-02,734.15,734.15,730.4,730.4,1341807,0,1,734.15,734.15,730.4,730.4,1341807
2016-06-03,730.4,730.4,722.34,722.34,1226253,0,1,730.4,730.4,722.34,722.34,1226253
2016-06-06,722.34,722.34,716.55,716.55,1566059,0,1,722.34,722.34,716.55,716.55,1566059
2016-06-07,716.55,716.65,716.55,716.65,1336754,0,1,716.55,716.65,716.55,716.65,1336754
2016-06-08,716.65,728.28,716.65,728.28,1583701,0,1,716.65,728.28,716.65,728.28,1583701
2016-06-09,728.28,728.58,728.28,728.58,988914,0,1,728.28,728.58,728.28,728.58,988914
2016-06-10,728.58,728.58,719.41,719.41,1216443,0,1,728.58,728.58,719.41,719.41,1216443
2016-06-13,719.41,719.41,718.36,718.36,1258930,0,1,719.41,719.41,718.36,718.36,1258930
2016-06-14,718.36,718.36,718.27,718.27,1306065,0,1,718.36,718.36,718.27,718.27,1306065
2016-06-15,718.27,718.92,718.27,718.92,1214517,0,1,718.27,718.92,718.27,718.92,1214517
2016-06-16,718.92,718.92,710.36,710.36,1982471,0,1,718.92,718.92,710.36,710.36,1982471
2016-06-17,710.36,710.36,691.72,691.72,3402357,0,1,710.36,710.36,691.72,691.72,3402357
2016-06-20,691.72,693.71,691.72,693.71,2082538,0,1,691.72,693.71,691.72,693.71,2082538
2016-06-21,693.71,695.94,693.71,695.94,1465634,0,1,693.71,695.94,693.71,695.94,1465634
2016-06-22,695.94,697.46,695.94,697.46,1184318,0,1,695.94,697.46,695.94,697.46,1184318
2016-06-23,697.46,701.87,697.46,701.87,2171415,0,1,697.46,701.87,697.46,701.87,2171415
2016-06-24,701.87,701.87,675.22,675.22,4449022,0,1,701.87,701.87,675.22,675.22,4449022
2016-06-27,675.22,675.22,668.26,668.26,2641085,0,1,675.22,675.22,668.26,668.26,2641085
2016-06-28,668.26,680.04,668.26,680.04,2173762,0,1,668.26,680.04,668.26,680.04,2173762
2016-06-29,680.04,684.11,680.04,684.11,1932561,0,1,680.04,684.11,680.04,684.11,1932561
2016-06-30,684.11,692.1,684.11,692.1,1597714,0,1,684.11,692.1,684.11,692.1,1597714
2016-07-01,692.1,699.21,692.1,699.21,1344710,0,1,692.1,699.21,692.1,699.21,1344710
2016-07-05,699.21,699.21,694.49,694.49,1462616,0,1,699.21,699.21,694.49,694.49,1462616
2016-07-06,694.49,697.77,694.49,697.77,1411925,0,1,694.49,697.77,694.49,697.77,1411925
2016-07-07,697.77,697.77,695.36,695.36,1303693,0,1,697.77,697.77,695.36,695.36,1303693
2016-07-08,695.36,705.63,695.36,705.63,1575166,0,1,695.36,705.63,695.36,705.63,1575166
2016-07-11,705.63,715.09,705.63,715.09,1111762,0,1,705.63,715.09,705.63,715.09,1111762
2016-07-12,715.09,720.64,715.09,720.64,1336921,0,1,715.09,720.64,715.09,720.64,1336921
2016-07-13,720.64,720.64,716.98,716.98,935876,0,1,720.64,720.64,716.98,716.98,935876
2016-07-14,716.98,720.95,716.98,720.95,950193,0,1,716.98,720.95,716.98,720.95,950193
2016-07-15,720.95,720.95,719.85,719.85,1279339,0,1,720.95,720.95,719.85,719.85,1279339
2016-07-18,719.85,733.78,719.85,733.78,1295476,0,1,719.85,733.78,719.85,733.78,1295476
2016-07-19,733.78,736.96,733.78,736.96,1227486,0,1,733.78,736.96,733.78,736.96,1227486
2016-07-20,736.96,741.19,736.96,741.19,1289671,0,1,736.96,741.19,736.96,741.19,1289671
2016-07-21,741.19,741.19,738.63,738.63,1026306,0,1,741.19,741.19,738.63,738.63,1026306
2016-07-22,738.63,742.74,738.63,742.74,1259823,0,1,738.63,742.74,738.63,742.74,1259823
2016-07-25,742.74,742.74,739.77,739.77,1032432,0,1,742.74,742.74,739.77,739.77,1032432
2016-07-26,739.77,739.77,738.42,738.42,1186738,0,1,739.77,739.77,738.42,738.42,1186738
2016-07-27,738.42,741.77,738.42,741.77,1512517,0,1,738.42,741.77,738.42,741.77,1512517
2016-07-28,741.77,745.91,741.77,745.91,3530169,0,1,741.77,745.91,741.77,745.91,3530169
2016-07-29,745.91,768.79,745.91,768.79,3841482,0,1,745.91,768.79,745.91,768.79,3841482
2016-08-01,768.79,772.88,768.79,772.88,2700470,0,1,768.79,772.88,768.79,772.88,2700470
2016-08-02,772.88,772.88,771.07,771.07,1784525,0,1,772.88,772.88,771.07,771.07,1784525
2016-08-03,771.07,773.18,771.07,773.18,1287421,0,1,771.07,773.18,771.07,773.18,1287421
2016-08-04,773.18,773.18,771.61,771.61,1140254,0,1,773.18,773.18,771.61,771.61,1140254
2016-08-05,771.61,782.22,771.61,782.22,1801205,0,1,771.61,782.22,771.61,782.22,1801205
2016-08-08,782.22,782.22,781.76,781.76,1107857,0,1,782.22,782.22,781.76,781.76,1107857
2016-08-09,781.76,784.26,781.76,784.26,1318894,0,1,781.76,784.26,781.76,784.26,1318894
2016-08-10,784.26,784.68,784.26,784.68,786363,0,1,784.26,784.68,784.26,784.68,786363
2016-08-11,784.68,784.85,784.68,784.85,975113,0,1,784.68,784.85,784.68,784.85,975113
2016-08-12,784.85,784.85,783.22,783.22,740498,0,1,784.85,784.85,783.22,783.22,740498
2016-08-15,783.22,783.22,782.44,782.44,938186,0,1,783.22,783.22,782.44,782.44,938186
2016-08-16,782.44,782.44,777.14,777.14,1028047,0,1,782.44,782.44,777.14,777.14,1028047
2016-08-17,777.14,779.91,777.14,779.91,924226,0,1,777.14,779.91,777.14,779.91,924226
2016-08-18,779.91,779.91,777.5,777.5,719429,0,1,779.91,779.91,777.5,777.5,719429
2016-08-19,777.5,777.5,775.42,775.42,861546,0,1,777.5,777.5,775.42,775.42,861546
2016-08-22,775.42,775.42,772.15,772.15,951362,0,1,775.42,775.42,772.15,772.15,951362
2016-08-23,772.15,772.15,772.08,772.08,928232,0,1,772.15,772.15,772.08,772.08,928232
2016-08-24,772.08,772.08,769.64,769.64,1071999,0,1,772.08,772.08,769.64,769.64,1071999
2016-08-25,769.64,769.64,769.41,769.41,926883,0,1,769.64,769.64,769.41,769.41,926883
2016-08-26,769.41,769.54,769.41,769.54,1166681,0,1,769.41,769.54,769.41,769.54,1166681
2016-08-29,769.54,772.15,769.54,772.15,847565,0,1,769.54,772.15,769.54,772.15,847565
2016-08-30,772.15,772.15,769.09,769.09,1130029,0,1,772.15,772.15,769.09,769.09,1130029
2016-08-31,769.09,769.09,767.05,767.05,1248556,0,1,769.09,769.09,767.05,767.05,1248556
2016-09-01,767.05,768.78,767.05,768.78,925131,0,1,767.05,768.78,767.05,768.78,925131
2016-09-02,768.78,771.46,768.78,771.46,1072658,0,1,768.78,771.46,768.78,771.46,1072658
2016-09-06,771.46,780.08,771.46,780.08,1442822,0,1,771.46,780.08,771.46,780.08,1442822
2016-09-07,780.08,780.35,780.08,780.35,894021,0,1,780.08,780.35,780.08,780.35,894021
2016-09-08,780.35,780.35,775.32,775.32,1270264,0,1,780.35,780.35,775.32,775.32,1270264
2016-09-09,775.32,775.32,759.66,759.66,1885496,0,1,775.32,775.32,759.66,759.66,1885496
2016-09-12,759.66,769.02,759.66,769.02,1310986,0,1,759.66,769.02,759.66,769.02,1310986
2016-09-13,769.02,769.02,759.69,759.69,1395046,0,1,769.02,769.02,759.69,759.69,1395046
2016-09-14,759.69,762.49,759.69,762.49,1094490,0,1,759.69,762.49,759.69,762.49,1094490
2016-09-15,762.49,771.76,762.49,771.76,1346751,0,1,762.49,771.76,762.49,771.76,1346751
2016-09-16,771.76,771.76,768.88,768.88,2049338,0,1,771.76,771.76,768.88,768.88,2049338
2016-09-19,768.88,768.88,765.7,765.7,1172824,0,1,768.88,768.88,765.7,765.7,1172824
2016-09-20,765.7,771.41,765.7,771.41,978631,0,1,765.7,771.41,765.7,771.41,978631
2016-09-21,771.41,776.22,771.41,776.22,1167810,0,1,771.41,776.22,771.41,776.22,1167810
2016-09-22,776.22,787.21,776.22,787.21,1486223,0,1,776.22,787.21,776.22,787.21,1486223
2016-09-23,787.21,787.21,786.9,786.9,1411937,0,1,787.21,787.21,786.9,786.9,1411937
2016-09-26,786.9,786.9,774.21,774.21,1533206,0,1,786.9,786.9,774.21,774.21,1533206
2016-09-27,774.21,783.01,774.21,783.01,1153247,0,1,774.21,783.01,774.21,783.01,1153247
2016-09-28,783.01,783.01,781.56,781.56,1109834,0,1,783.01,783.01,781.56,781.56,1109834
2016-09-29,781.56,781.56,775.01,775.01,1314746,0,1,781.56,781.56,775.01,775.01,1314746
2016-09-30,775.01,777.29,775.01,777.29,1585333,0,1,775.01,777.29,775.01,777.29,1585333
2016-10-03,777.29,777.29,772.56,772.56,1278821,0,1,777.29,777.29,772.56,772.56,1278821
2016-10-04,772.56,776.43,772.56,776.43,1201350,0,1,772.56,776.43,772.56,776.43,1201350
2016-10-05,776.43,776.47,776.43,776.47,1461151,0,1,776.43,776.47,776.43,776.47,1461151
