Date,Open,High,Low,Close,Volume,Ex-Dividend,Split Ratio,Adj. Open,Adj. High,Adj. Low,Adj. Close,Adj. Volume
2016-01-04,210.02,210.02,210.02,210.02,1734969,0,1,210.02,210.02,210.02,210.02,1734969
2016-01-05,210.02,212.82,210.02,212.82,3190891,0,1,210.02,212.82,210.02,212.82,3190891
2016-01-06,212.82,212.82,212.18,212.18,2376090,0,1,212.82,212.82,212.18,212.18,2376090
2016-01-07,212.18,212.18,202.23,202.23,814868,0,1,212.18,212.18,202.23,202.23,814868
2016-01-08,202.23,204.63,202.23,204.63,4451009,0,1,202.23,204.63,202.23,204.63,4451009
2016-01-11,204.63,204.63,199.86,199.86,2970258,0,1,204.63,204.63,199.86,199.86,2970258
2016-01-12,199.86,199.86,196.79,196.79,4028723,0,1,199.86,199.86,196.79,196.79,4028723
2016-01-13,196.79,199.78,196.79,199.78,2920198,0,1,196.79,199.78,196.79,199.78,2920198
2016-01-14,199.78,204.82,199.78,204.82,3477606,0,1,199.78,204.82,199.78,204.82,3477606
2016-01-15,204.82,204.82,199,199,2668119,0,1,204.82,204.82,199,199,2668119
2016-01-18,199,199.43,199,199.43,2737123,0,1,199,199.43,199,199.43,2737123
2016-01-19,199.43,210.24,199.43,210.24,5911022,0,1,199.43,210.24,199.43,210.24,5911022
2016-01-20,210.24,210.24,202.32,202.32,4096866,0,1,210.24,210.24,202.32,202.32,4096866
2016-01-21,202.32,202.32,200.26,200.26,2183229,0,1,202.32,202.32,200.26,200.26,2183229
2016-01-22,200.26,202.74,200.26,202.74,2273348,0,1,200.26,202.74,200.26,202.74,2273348
2016-01-25,202.74,202.77,202.74,202.77,1375045,0,1,202.74,202.77,202.74,202.77,1375045
2016-01-26,202.77,202.77,199.01,199.01,2228092,0,1,202.77,202.77,199.01,199.01,2228092
2016-01-27,199.01,199.93,199.01,199.93,2984041,0,1,199.01,199.93,199.01,199.93,2984041
2016-01-28,199.93,199.93,196.64,196.64,1790300,0,1,199.93,199.93,196.64,196.64,1790300
2016-01-29,196.64,200.65,196.64,200.65,2309024,0,1,196.64,200.65,196.64,200.65,2309024
2016-02-01,200.65,201.29,200.65,201.29,1917802,0,1,200.65,201.29,200.65,201.29,1917802
2016-02-02,201.29,204.55,201.29,204.55,1784208,0,1,201.29,204.55,201.29,204.55,1784208
2016-02-03,204.55,204.55,203.66,203.66,1515699,0,1,204.55,204.55,203.66,203.66,1515699
2016-02-04,203.66,204.99,203.66,204.99,1662475,0,1,203.66,204.99,203.66,204.99,1662475
2016-02-05,204.99,204.99,203.87,203.87,1422767,0,1,204.99,204.99,203.87,203.87,1422767
2016-02-15,203.87,203.87,200.41,200.41,1947018,0,1,203.87,203.87,200.41,200.41,1947018
2016-02-16,200.41,203.92,200.41,203.92,1922316,0,1,200.41,203.92,200.41,203.92,1922316
2016-02-17,203.92,203.92,202.3,202.3,2034911,0,1,203.92,203.92,202.3,202.3,2034911
2016-02-18,202.3,202.3,201.71,201.71,1889256,0,1,202.3,202.3,201.71,201.71,1889256
2016-02-19,201.71,203.11,201.71,203.11,1423846,0,1,201.71,203.11,201.71,203.11,1423846
2016-02-22,203.11,207.8,203.11,207.8,2775986,0,1,203.11,207.8,203.11,207.8,2775986
2016-02-23,207.8,212.41,207.8,212.41,3746089,0,1,207.8,212.41,207.8,212.41,3746089
2016-02-24,212.41,217.74,212.41,217.74,3312902,0,1,212.41,217.74,212.41,217.74,3312902
2016-02-25,217.74,217.74,212.41,212.41,3948065,0,1,217.74,217.74,212.41,212.41,3948065
2016-02-26,212.41,216.84,212.41,216.84,2833271,0,1,212.41,216.84,212.41,216.84,2833271
2016-02-29,216.84,216.84,214.91,214.91,4771246,0,1,216.84,216.84,214.91,214.91,4771246
2016-03-01,214.91,218.42,214.91,218.42,3400459,0,1,214.91,218.42,214.91,218.42,3400459
2016-03-02,218.42,224.22,218.42,224.22,4794266,0,1,218.42,224.22,218.42,224.22,4794266
2016-03-03,224.22,227.81,224.22,227.81,4019328,0,1,224.22,227.81,224.22,227.81,4019328
2016-03-04,227.81,238.78,227.81,238.78,8583869,0,1,227.81,238.78,227.81,238.78,8583869
2016-03-07,238.78,238.78,233.64,233.64,3934555,0,1,238.78,238.78,233.64,233.64,3934555
2016-03-08,233.64,233.64,229.21,229.21,2614722,0,1,233.64,233.64,229.21,229.21,2614722
2016-03-09,229.21,229.21,227.44,227.44,1640260,0,1,229.21,229.21,227.44,227.44,1640260
2016-03-10,227.44,228.06,227.44,228.06,2572746,0,1,227.44,228.06,227.44,228.06,2572746
2016-03-11,228.06,228.06,228.05,228.05,1632008,0,1,228.06,228.06,228.05,228.05,1632008
2016-03-14,228.05,228.05,224.57,224.57,4527783,0,1,228.05,228.05,224.57,224.57,4527783
2016-03-15,224.57,231.92,224.57,231.92,3635633,0,1,224.57,231.92,224.57,231.92,3635633
2016-03-16,231.92,231.92,228.61,228.61,2425097,0,1,231.92,231.92,228.61,228.61,2425097
2016-03-17,228.61,229.56,228.61,229.56,2882095,0,1,228.61,229.56,228.61,229.56,2882095
2016-03-18,229.56,229.56,226,226,7056894,0,1,229.56,229.56,226,226,7056894
2016-03-21,226,231.98,226,231.98,3854745,0,1,226,231.98,226,231.98,3854745
2016-03-22,231.98,234.49,231.98,234.49,4176661,0,1,231.98,234.49,231.98,234.49,4176661
2016-03-23,234.49,234.97,234.49,234.97,2141206,0,1,234.49,234.97,234.49,234.97,2141206
2016-03-24,234.97,242.66,234.97,242.66,6206802,0,1,234.97,242.66,234.97,242.66,6206802
2016-03-25,242.66,244.98,242.66,244.98,4475616,0,1,242.66,244.98,242.66,244.98,4475616
2016-03-28,244.98,249.58,244.98,249.58,4833765,0,1,244.98,249.58,244.98,249.58,4833765
2016-03-29,249.58,249.58,248.11,248.11,3668805,0,1,249.58,249.58,248.11,248.11,3668805
2016-03-30,248.11,248.66,248.11,248.66,2778260,0,1,248.11,248.66,248.11,248.66,2778260
2016-03-31,248.66,248.66,247.64,247.64,1945734,0,1,248.66,248.66,247.64,247.64,1945734
2016-04-01,247.64,247.64,245.09,245.09,2514607,0,1,247.64,247.64,245.09,245.09,2514607
2016-04-05,245.09,245.52,245.09,245.52,2504785,0,1,245.09,245.52,245.09,245.52,2504785
2016-04-06,245.52,257.21,245.52,257.21,4842492,0,1,245.52,257.21,245.52,257.21,4842492
2016-04-07,257.21,257.21,254.11,254.11,2553639,0,1,257.21,257.21,254.11,254.11,2553639
2016-04-08,254.11,254.11,249.86,249.86,2315602,0,1,254.11,254.11,249.86,249.86,2315602
2016-04-11,249.86,249.86,243.72,243.72,11928468,0,1,249.86,249.86,243.72,243.72,11928468
2016-04-12,243.72,244.92,243.72,244.92,2333909,0,1,243.72,244.92,243.72,244.92,2333909
2016-04-13,244.92,244.92,242.24,242.24,5427425,0,1,244.92,244.92,242.24,242.24,5427425
2016-04-14,242.24,242.76,242.24,242.76,2866437,0,1,242.24,242.76,242.24,242.76,2866437
2016-04-15,242.76,244.9,242.76,244.9,1902926,0,1,242.76,244.9,242.76,244.9,1902926
2016-04-18,244.9,244.9,243.68,243.68,1859304,0,1,244.9,244.9,243.68,243.68,1859304
2016-04-19,243.68,243.68,243.18,243.18,1423668,0,1,243.68,243.68,243.18,243.18,1423668
2016-04-20,243.18,243.18,238.44,238.44,3370850,0,1,243.18,243.18,238.44,238.44,3370850
2016-04-21,238.44,240.37,238.44,240.37,2967222,0,1,238.44,240.37,238.44,240.37,2967222
2016-04-22,240.37,247.4,240.37,247.4,3545938,0,1,240.37,247.4,240.37,247.4,3545938
2016-04-25,247.4,247.4,244.52,244.52,2499028,0,1,247.4,247.4,244.52,244.52,2499028
2016-04-26,244.52,244.52,243.86,243.86,1515668,0,1,244.52,244.52,243.86,243.86,1515668
2016-04-27,243.86,244.88,243.86,244.88,1391510,0,1,243.86,244.88,243.86,244.88,1391510
