Date,Open,High,Low,Close,Volume,Ex-Dividend,Split Ratio,Adj. Open,Adj. High,Adj. Low,Adj. Close,Adj. Volume
2016-01-04,34.05,34.05,34.05,34.05,70997199,0,1,34.05,34.05,34.05,34.05,70997199
2016-01-05,34.05,34.5,34.05,34.5,87498507,0,1,34.05,34.5,34.05,34.5,87498507
2016-01-06,34.5,34.53,34.5,34.53,48012110,0,1,34.5,34.53,34.5,34.53,48012110
2016-01-07,34.53,34.53,33.77,33.77,23647605,0,1,34.53,34.53,33.77,33.77,23647605
2016-01-08,33.77,33.94,33.77,33.94,98239660,0,1,33.77,33.94,33.77,33.94,98239660
2016-01-11,33.94,33.94,32.03,32.03,99355700,0,1,33.94,33.94,32.03,32.03,99355700
2016-01-12,32.03,32.21,32.03,32.21,74380914,0,1,32.03,32.21,32.03,32.21,74380914
2016-01-13,32.21,32.21,31.99,31.99,62533019,0,1,32.21,32.21,31.99,31.99,62533019
2016-01-14,31.99,31.99,31.99,31.99,79722712,0,1,31.99,31.99,31.99,31.99,79722712
2016-01-15,31.99,31.99,31.2,31.2,59140260,0,1,31.99,31.99,31.2,31.2,59140260
2016-01-18,31.2,31.2,31.07,31.07,48369367,0,1,31.2,31.2,31.07,31.07,48369367
2016-01-19,31.07,31.51,31.07,31.51,67392536,0,1,31.07,31.51,31.07,31.51,67392536
2016-01-20,31.51,31.51,30.53,30.53,100704268,0,1,31.51,31.51,30.53,30.53,100704268
2016-01-21,30.53,30.53,30.15,30.15,68190102,0,1,30.53,30.53,30.15,30.15,68190102
2016-01-22,30.15,30.22,30.15,30.22,49310407,0,1,30.15,30.22,30.15,30.22,49310407
2016-01-25,30.22,30.26,30.22,30.26,37474472,0,1,30.22,30.26,30.22,30.26,37474472
2016-01-26,30.26,30.26,29.23,29.23,76680981,0,1,30.26,30.26,29.23,29.23,76680981
2016-01-27,29.23,29.23,29.22,29.22,70385326,0,1,29.23,29.23,29.22,29.22,70385326
2016-01-28,29.22,29.3,29.22,29.3,48441759,0,1,29.22,29.3,29.22,29.3,48441759
2016-01-29,29.3,30.18,29.3,30.18,64439144,0,1,29.3,30.18,29.3,30.18,64439144
2016-02-01,30.18,30.18,29.53,29.53,34048457,0,1,30.18,30.18,29.53,29.53,34048457
2016-02-02,29.53,29.97,29.53,29.97,37513430,0,1,29.53,29.97,29.53,29.97,37513430
2016-02-03,29.97,29.97,29.64,29.64,39035211,0,1,29.97,29.97,29.64,29.64,39035211
2016-02-04,29.64,29.71,29.64,29.71,36657042,0,1,29.64,29.71,29.64,29.71,36657042
2016-02-05,29.71,29.71,29.66,29.66,33330201,0,1,29.71,29.71,29.66,29.66,33330201
2016-02-15,29.66,29.66,29.43,29.43,43993725,0,1,29.66,29.66,29.43,29.43,43993725
2016-02-16,29.43,30.12,29.43,30.12,39757869,0,1,29.43,30.12,29.43,30.12,39757869
2016-02-17,30.12,30.12,30.04,30.04,46163466,0,1,30.12,30.12,30.04,30.04,46163466
2016-02-18,30.04,30.04,29.91,29.91,48458572,0,1,30.04,30.04,29.91,29.91,48458572
2016-02-19,29.91,29.92,29.91,29.92,26092199,0,1,29.91,29.92,29.91,29.92,26092199
2016-02-22,29.92,30.97,29.92,30.97,78908600,0,1,29.92,30.97,29.92,30.97,78908600
2016-02-23,30.97,30.97,30.5,30.5,43458444,0,1,30.97,30.97,30.5,30.5,43458444
2016-02-24,30.5,30.5,30.41,30.41,30491050,0,1,30.5,30.5,30.41,30.41,30491050
2016-02-25,30.41,30.41,28.96,28.96,59059774,0,1,30.41,30.41,28.96,28.96,59059774
2016-02-26,28.96,29.1,28.96,29.1,33211134,0,1,28.96,29.1,28.96,29.1,33211134
2016-02-29,29.1,29.1,29.01,29.01,66763176,0,1,29.1,29.1,29.01,29.01,66763176
2016-03-01,29.01,29.26,29.01,29.26,40682753,0,1,29.01,29.26,29.01,29.26,40682753
2016-03-02,29.26,30.18,29.26,30.18,62335409,0,1,29.26,30.18,29.26,30.18,62335409
2016-03-03,30.18,30.38,30.18,30.38,53494887,0,1,30.18,30.38,30.18,30.38,53494887
2016-03-04,30.38,31.55,30.38,31.55,178976573,0,1,30.38,31.55,30.38,31.55,178976573
2016-03-07,31.55,31.55,31.05,31.05,54440341,0,1,31.55,31.55,31.05,31.05,54440341
2016-03-08,31.05,31.3,31.05,31.3,67391212,0,1,31.05,31.3,31.05,31.3,67391212
2016-03-09,31.3,31.38,31.3,31.38,80090596,0,1,31.3,31.38,31.3,31.38,80090596
2016-03-10,31.38,31.38,30.74,30.74,33110889,0,1,31.38,31.38,30.74,30.74,33110889
2016-03-11,30.74,31.04,30.74,31.04,35792982,0,1,30.74,31.04,30.74,31.04,35792982
2016-03-14,31.04,31.11,31.04,31.11,55579715,0,1,31.04,31.11,31.04,31.11,55579715
2016-03-15,31.11,31.36,31.11,31.36,61981843,0,1,31.11,31.36,31.11,31.36,61981843
2016-03-16,31.36,32.13,31.36,32.13,159647657,0,1,31.36,32.13,31.36,32.13,159647657
2016-03-17,32.13,32.13,32,32,57078597,0,1,32.13,32.13,32,32,57078597
2016-03-18,32,32.12,32,32.12,87408324,0,1,32,32.12,32,32.12,87408324
2016-03-21,32.12,32.83,32.12,32.83,113879011,0,1,32.12,32.83,32.12,32.83,113879011
2016-03-22,32.83,32.83,32.1,32.1,60362722,0,1,32.83,32.83,32.1,32.1,60362722
2016-03-23,32.1,32.26,32.1,32.26,36047297,0,1,32.1,32.26,32.1,32.26,36047297
2016-03-24,32.26,32.26,31.8,31.8,35109688,0,1,32.26,32.26,31.8,31.8,35109688
2016-03-25,31.8,32.06,31.8,32.06,35717568,0,1,31.8,32.06,31.8,32.06,35717568
2016-03-28,32.06,32.06,31.46,31.46,37797307,0,1,32.06,32.06,31.46,31.46,37797307
2016-03-29,31.46,31.46,31.25,31.25,34128188,0,1,31.46,31.46,31.25,31.25,34128188
2016-03-30,31.25,31.99,31.25,31.99,43205823,0,1,31.25,31.99,31.25,31.99,43205823
2016-03-31,31.99,31.99,31.81,31.81,29797952,0,1,31.99,31.99,31.81,31.81,29797952
2016-04-01,31.81,31.92,31.81,31.92,38552936,0,1,31.81,31.92,31.81,31.92,38552936
2016-04-05,31.92,32,31.92,32,42978997,0,1,31.92,32,31.92,32,42978997
2016-04-06,32,32,31.74,31.74,27232796,0,1,32,32,31.74,31.74,27232796
2016-04-07,31.74,31.74,31.37,31.37,36211146,0,1,31.74,31.74,31.37,31.37,36211146
2016-04-08,31.37,31.37,31.16,31.16,36175893,0,1,31.37,31.37,31.16,31.16,36175893
2016-04-11,31.16,31.51,31.16,31.51,35165894,0,1,31.16,31.51,31.16,31.51,35165894
2016-04-12,31.51,31.55,31.51,31.55,21968838,0,1,31.51,31.55,31.51,31.55,21968838
2016-04-13,31.55,31.91,31.55,31.91,75568173,0,1,31.55,31.91,31.55,31.91,75568173
2016-04-14,31.91,32.02,31.91,32.02,42270343,0,1,31.91,32.02,31.91,32.02,42270343
2016-04-15,32.02,32.02,31.99,31.99,53566943,0,1,32.02,32.02,31.99,31.99,53566943
2016-04-18,31.99,31.99,31.79,31.79,56266307,0,1,31.99,31.99,31.79,31.79,56266307
2016-04-19,31.79,31.93,31.79,31.93,47555191,0,1,31.79,31.93,31.79,31.93,47555191
2016-04-20,31.93,32.21,31.93,32.21,119379681,0,1,31.93,32.21,31.93,32.21,119379681
2016-04-21,32.21,32.22,32.21,32.22,65119594,0,1,32.21,32.22,32.21,32.22,65119594
2016-04-22,32.22,32.42,32.22,32.42,43078020,0,1,32.22,32.42,32.22,32.42,43078020
2016-04-25,32.42,32.42,32.32,32.32,30729800,0,1,32.42,32.42,32.32,32.32,30729800
2016-04-26,32.32,32.39,32.32,32.39,30804864,0,1,32.32,32.39,32.32,32.39,30804864
2016-04-27,32.39,32.39,32.26,32.26,32926140,0,1,32.39,32.39,32.26,32.26,32926140
2016-04-28,32.26,32.26,32.19,32.19,22743653,0,1,32.26,32.26,32.19,32.19,22743653
2016-04-29,32.19,32.19,32.04,32.04,25951148,0,1,32.19,32.19,32.04,32.04,25951148
2016-05-03,32.04,32.04,31.91,31.91,50917961,0,1,32.04,32.04,31.91,31.91,50917961
2016-05-04,31.91,31.93,31.91,31.93,26426416,0,1,31.91,31.93,31.91,31.93,26426416
2016-05-05,31.93,31.95,31.93,31.95,21140060,0,1,31.93,31.95,31.93,31.95,21140060
2016-05-06,31.95,31.95,31.4,31.4,49181874,0,1,31.95,31.95,31.4,31.4,49181874
2016-05-09,31.4,31.4,31.16,31.16,49046546,0,1,31.4,31.4,31.16,31.16,49046546
2016-05-10,31.16,31.19,31.16,31.19,27645278,0,1,31.16,31.19,31.16,31.19,27645278
2016-05-11,31.19,31.25,31.19,31.25,27763942,0,1,31.19,31.25,31.19,31.25,27763942
2016-05-12,31.25,31.71,31.25,31.71,56869642,0,1,31.25,31.71,31.25,31.71,56869642
2016-05-13,31.71,31.72,31.71,31.72,39265080,0,1,31.71,31.72,31.71,31.72,39265080
2016-05-16,31.72,31.72,31.61,31.61,24118291,0,1,31.72,31.72,31.61,31.61,24118291
2016-05-17,31.61,31.61,31.51,31.51,20691674,0,1,31.61,31.61,31.51,31.51,20691674
2016-05-18,31.51,31.81,31.51,31.81,60201782,0,1,31.51,31.81,31.51,31.81,60201782
2016-05-19,31.81,31.83,31.81,31.83,28517053,0,1,31.81,31.83,31.81,31.83,28517053
2016-05-20,31.83,31.83,31.82,31.82,17539236,0,1,31.83,31.83,31.82,31.82,17539236
2016-05-23,31.82,31.83,31.82,31.83,27738544,0,1,31.82,31.83,31.82,31.83,27738544
2016-05-24,31.83,31.83,31.64,31.64,18552099,0,1,31.83,31.83,31.64,31.64,18552099
2016-05-25,31.64,31.64,31.61,31.61,13712500,0,1,31.64,31.64,31.61,31.61,13712500
2016-05-26,31.61,31.63,31.61,31.63,20356139,0,1,31.61,31.63,31.61,31.63,20356139
2016-05-27,31.63,31.63,31.6,31.6,14098751,0,1,31.63,31.63,31.6,31.6,14098751
